fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
101,31.1523789,-17.60287933,31.15182107,31.15293673,-17.6032912,-17.60246746,0
102,31.15340667,-17.60287933,31.15284884,31.15396451,-17.6032912,-17.60246746,0
103,31.15443445,-17.60287933,31.15387661,31.15499228,-17.6032912,-17.60246746,0
104,31.15546222,-17.60287933,31.15490439,31.15602006,-17.6032912,-17.60246746,0
105,31.15649,-17.60287933,31.15593216,31.15704784,-17.6032912,-17.60246746,0
106,31.15751777,-17.60287933,31.15695994,31.15807561,-17.6032912,-17.60246746,0
107,31.15854555,-17.60287933,31.15798771,31.15910339,-17.6032912,-17.60246746,0
108,31.15957332,-17.60287933,31.15901548,31.16013117,-17.6032912,-17.60246746,0
109,31.1606011,-17.60287933,31.16004326,31.16115894,-17.6032912,-17.60246746,0
110,31.16162887,-17.60287933,31.16107103,31.16218672,-17.6032912,-17.60246746,0
111,31.16265665,-17.60287933,31.1620988,31.1632145,-17.6032912,-17.60246746,0
112,31.16368442,-17.60287933,31.16312658,31.16424227,-17.6032912,-17.60246746,0
113,31.1647122,-17.60287933,31.16415435,31.16527005,-17.6032912,-17.60246746,0
114,31.16573997,-17.60287933,31.16518212,31.16629783,-17.6032912,-17.60246746,0
115,31.16676775,-17.60287933,31.1662099,31.1673256,-17.6032912,-17.60246746,0
116,31.16779552,-17.60287933,31.16723767,31.16835338,-17.6032912,-17.60246746,0
117,31.1688233,-17.60287933,31.16826545,31.16938116,-17.6032912,-17.60246746,0
118,31.16985108,-17.60287933,31.16929322,31.17040893,-17.6032912,-17.60246746,0
119,31.17087885,-17.60287933,31.17032099,31.17143671,-17.6032912,-17.60246746,0
120,31.17190663,-17.60287933,31.17134877,31.17246449,-17.6032912,-17.60246746,0
121,31.14218901,-17.60370306,31.14163119,31.14274683,-17.60411493,-17.6032912,0
122,31.14321679,-17.60370306,31.14265896,31.14377461,-17.60411493,-17.6032912,0
123,31.14424456,-17.60370306,31.14368674,31.14480239,-17.60411493,-17.6032912,0
124,31.14527234,-17.60370306,31.14471452,31.14583017,-17.60411493,-17.6032912,0
125,31.14630012,-17.60370306,31.14574229,31.14685795,-17.60411493,-17.6032912,0
126,31.1473279,-17.60370306,31.14677007,31.14788573,-17.60411493,-17.6032912,0
127,31.14835568,-17.60370306,31.14779785,31.14891351,-17.60411493,-17.6032912,0
128,31.14938345,-17.60370306,31.14882562,31.14994129,-17.60411493,-17.6032912,0
129,31.15041123,-17.60370306,31.1498534,31.15096906,-17.60411493,-17.6032912,0
