,pop_grid_pop,geometry,pop_grid_id
84,222.6809844970703,"POLYGON ((3471993.3587152627 -3634.2407626302625, 3473024.0312855165 -3634.498297376791, 3473023.739380158 -4658.307548491238, 3471993.066939287 -4657.977468302587, 3471993.3587152627 -3634.2407626302625))",84
85,244.36141967773438,"POLYGON ((3473024.0312855165 -3634.498297376791, 3474054.7769063283 -3634.7559463140738, 3474054.484871549 -4658.637775037239, 3473023.739380158 -4658.307548491238, 3473024.0312855165 -3634.498297376791))",85
86,301.36431884765625,"POLYGON ((3474054.7769063283 -3634.7559463140738, 3475085.5956100887 -3635.0137094776373, 3475085.303445847 -4658.968147986125, 3474054.484871549 -4658.637775037239, 3474054.7769063283 -3634.7559463140738))",86
87,98.16043853759766,"POLYGON ((3475085.5956100887 -3635.0137094776373, 3476116.4874291955 -3635.271586903033, 3476116.1951354505 -4659.298667383459, 3475085.303445847 -4658.968147986125, 3475085.5956100887 -3635.0137094776373))",87
88,53.33625411987305,"POLYGON ((3476116.4874291955 -3635.271586903033, 3477147.452396056 -3635.52957862583, 3477147.159972768 -4659.629333274835, 3476116.1951354505 -4659.298667383459, 3476116.4874291955 -3635.271586903033))",88
89,32.447425842285156,"POLYGON ((3477147.452396056 -3635.52957862583, 3478178.490543091 -3635.7876846816216, 3478178.19799022 -4659.960145705869, 3477147.159972768 -4659.629333274835, 3477147.452396056 -3635.52957862583))",89
90,,"POLYGON ((3459630.683813651 -4654.02790537491, 3460660.48217093 -4654.356232817057, 3460660.120122407 -5677.297014674217, 3459630.3219258552 -5676.896527048237, 3459630.683813651 -4654.02790537491))",90
91,,"POLYGON ((3460660.48217093 -4654.356232817057, 3461690.3531908537 -4654.684706072287, 3461689.990981552 -5677.697680160233, 3460660.120122407 -5677.297014674217, 3460660.48217093 -4654.356232817057))",91
92,167.46963500976562,"POLYGON ((3461690.3531908537 -4654.684706072287, 3462720.2969056843 -4655.013325185802, 3462719.934535555 -5678.098523561423, 3461689.990981552 -5677.697680160233, 3461690.3531908537 -4654.684706072287))",92
93,117.26940155029297,"POLYGON ((3462720.2969056843 -4655.013325185802, 3463750.313347705 -4655.342090202837, 3463749.9508166974 -5678.499544932959, 3462719.934535555 -5678.098523561423, 3462720.2969056843 -4655.013325185802))",93
