grid_code,origin_lat,origin_lon,destination_name,dest_lat,dest_lon,min_duration,population
81018,11.949583486909091,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,531.4,4839.4775
69112,11.949583486909091,8.481249980961538,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,579.99,5041.5312
73918,11.949583486909091,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,431.66,3851.5386
18270,11.949583486909091,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,517.72,2952.769
96499,11.949583486909091,8.506249980884615,Maxcare Clinic,11.96792,8.54314,570.77,2948.9653
92818,11.949583486909091,8.514583314192308,Maxcare Clinic,11.96792,8.54314,585.29,2104.755
44244,11.949583486909091,8.5229166475,Maxcare Clinic,11.96792,8.54314,479.29,1977.2698
52585,11.949583486909091,8.531249980807692,Maxcare Clinic,11.96792,8.54314,313.88,2348.2085
68339,11.949583486909091,8.539583314115385,Maxcare Clinic,11.96792,8.54314,288.02,1702.0104
47011,11.949583486909091,8.547916647423076,Maxcare Clinic,11.96792,8.54314,278.52,1909.6354
44936,11.949583486909091,8.556249980730769,Maxcare Clinic,11.96792,8.54314,175.43,1917.6217
43038,11.949583486909091,8.564583314038462,Maxcare Clinic,11.96792,8.54314,292.7,1412.2971
36844,11.949583486909091,8.572916647346153,Maxcare Clinic,11.96792,8.54314,363.77,591.1063
94173,11.941250153636364,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,574.07,4611.722
81428,11.941250153636364,8.481249980961538,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,576.31,4509.7397
39777,11.941250153636364,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,616.77,2709.3137
60438,11.941250153636364,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,753.07,1761.0663
90793,11.941250153636364,8.506249980884615,Maxcare Clinic,11.96792,8.54314,737.08,1708.7045
93853,11.941250153636364,8.514583314192308,Maxcare Clinic,11.96792,8.54314,638.26,1450.6526
15508,11.941250153636364,8.5229166475,Maxcare Clinic,11.96792,8.54314,699.84,1050.3472
70026,11.941250153636364,8.531249980807692,Maxcare Clinic,11.96792,8.54314,477.88,1275.6952
76416,11.941250153636364,8.539583314115385,Maxcare Clinic,11.96792,8.54314,543.74,1152.2573
63699,11.941250153636364,8.547916647423076,Maxcare Clinic,11.96792,8.54314,419.18,1221.2424
35666,11.941250153636364,8.556249980730769,Maxcare Clinic,11.96792,8.54314,295.33,1514.4869
62382,11.941250153636364,8.564583314038462,Maxcare Clinic,11.96792,8.54314,265.4,1321.3768
93998,11.941250153636364,8.572916647346153,Maxcare Clinic,11.96792,8.54314,403.17,993.2351
