,pop_grid_pop,geometry,pop_grid_id
78,,"POLYGON ((291547.79741075385 1031758.0030043122, 292463.3823413935 1031753.0957315437, 292458.45479324245 1030831.2910183305, 291542.8480925315 1030836.1940627873, 291547.79741075385 1031758.0030043122))",78
79,,"POLYGON ((292463.3823413935 1031753.0957315437, 293378.9630817226 1031748.2100912269, 293374.05730313127 1030826.4095876886, 292458.45479324245 1030831.2910183305, 292463.3823413935 1031753.0957315437))",79
80,,"POLYGON ((293378.9630817226 1031748.2100912269, 294294.53965025116 1031743.3460828548, 294289.6556407107 1030821.5497703543, 293374.05730313127 1030826.4095876886, 293378.9630817226 1031748.2100912269))",80
81,,"POLYGON ((294294.53965025116 1031743.3460828548, 295210.11206548975 1031738.5037059227, 295205.2498244931 1030816.7115658236, 294289.6556407107 1030821.5497703543, 294294.53965025116 1031743.3460828548))",81
82,,"POLYGON ((295210.11206548975 1031738.5037059227, 296125.68034594716 1031733.6829599277, 296120.83987298957 1030811.8949735946, 295205.2498244931 1030816.7115658236, 295210.11206548975 1031738.5037059227))",82
83,,"POLYGON ((296125.68034594716 1031733.6829599277, 297041.2445101328 1031728.8838443703, 297036.4258047121 1030807.0999931669, 296120.83987298957 1030811.8949735946, 296125.68034594716 1031733.6829599277))",83
84,,"POLYGON ((297041.2445101328 1031728.8838443703, 297956.80457655527 1031724.1063587512, 297952.00763817143 1030802.3266240429, 297036.4258047121 1030807.0999931669, 297041.2445101328 1031728.8838443703))",84
85,,"POLYGON ((297956.80457655527 1031724.1063587512, 298872.360563723 1031719.3505025757, 298867.58539187803 1030797.5748657275, 297952.00763817143 1030802.3266240429, 297956.80457655527 1031724.1063587512))",85
86,,"POLYGON ((298872.360563723 1031719.3505025757, 299787.9124901438 1031714.61627535, 299783.15908434207 1030792.8447177272, 298867.58539187803 1030797.5748657275, 298872.360563723 1031719.3505025757))",86
87,,"POLYGON ((299787.9124901438 1031714.61627535, 300703.46037432505 1031709.9036765823, 300698.72873407335 1030788.1361795514, 299783.15908434207 1030792.8447177272, 299787.9124901438 1031714.61627535))",87
88,,"POLYGON ((300703.46037432505 1031709.9036765823, 301619.004234774 1031705.2127057841, 301614.2943595814 1030783.4492507109, 300698.72873407335 1030788.1361795514, 300703.46037432505 1031709.9036765823))",88
89,,"POLYGON ((301619.004234774 1031705.2127057841, 302534.54408999736 1031700.5433624682, 302529.85597937496 1030778.7839307201, 301614.2943595814 1030783.4492507109, 301619.004234774 1031705.2127057841))",89
90,,"POLYGON ((302534.54408999736 1031700.5433624682, 303450.0799585015 1031695.8956461502, 303445.41361196275 1030774.1402190941, 302529.85597937496 1030778.7839307201, 302534.54408999736 1031700.5433624682))",90
91,,"POLYGON ((303450.0799585015 1031695.8956461502, 304365.61185879225 1031691.2695563481, 304360.967275853 1030769.5181153516, 303445.41361196275 1030774.1402190941, 303450.0799585015 1031695.8956461502))",91
92,,"POLYGON ((304365.61185879225 1031691.2695563481, 305281.13980937534 1031686.6650925814, 305276.5169895536 1030764.9176190123, 304360.967275853 1030769.5181153516, 304365.61185879225 1031691.2695563481))",92
93,132.13169860839844,"POLYGON ((305281.13980937534 1031686.6650925814, 306196.66382875585 1031682.0822543724, 306192.0627715718 1030760.3387295993, 305276.5169895536 1030764.9176190123, 305281.13980937534 1031686.6650925814))",93
94,164.97509765625,"POLYGON ((306196.66382875585 1031682.0822543724, 307112.1839354386 1031677.5210412458, 307107.6046404148 1030755.7814466372, 306192.0627715718 1030760.3387295993, 306196.66382875585 1031682.0822543724))",94
95,325.786376953125,"POLYGON ((307112.1839354386 1031677.5210412458, 308027.7001479278 1031672.9814527279, 308023.14261458913 1030751.2457696531, 307107.6046404148 1030755.7814466372, 307112.1839354386 1031677.5210412458))",95
96,276.9545593261719,"POLYGON ((308027.7001479278 1031672.9814527279, 308943.2124847281 1031668.463488348, 308938.67671260156 1030746.731698176, 308023.14261458913 1030751.2457696531, 308027.7001479278 1031672.9814527279))",96
97,,"POLYGON ((308943.2124847281 1031668.463488348, 309858.7209643425 1031663.9671476368, 309854.20695295744 1030742.2392317383, 308938.67671260156 1030746.731698176, 308943.2124847281 1031668.463488348))",97
98,,"POLYGON ((309858.7209643425 1031663.9671476368, 310774.2256052749 1031659.4924301284, 310769.7333541629 1030737.7683698728, 309854.20695295744 1030742.2392317383, 309858.7209643425 1031663.9671476368))",98
99,,"POLYGON ((310774.2256052749 1031659.4924301284, 311689.72642602754 1031655.039335358, 311685.2559347225 1030733.3191121165, 310769.7333541629 1030737.7683698728, 310774.2256052749 1031659.4924301284))",99
100,,"POLYGON ((311689.72642602754 1031655.039335358, 312605.22344510356 1031650.6078628637, 312600.7747131416 1030728.8914580068, 311685.2559347225 1030733.3191121165, 311689.72642602754 1031655.039335358))",100
101,,"POLYGON ((312605.22344510356 1031650.6078628637, 313520.71668100497 1031646.1980121856, 313516.28970792436 1030724.485407085, 312600.7747131416 1030728.8914580068, 312605.22344510356 1031650.6078628637))",101
102,,"POLYGON ((313520.71668100497 1031646.1980121856, 314436.20615223364 1031641.8097828662, 314431.80093757506 1030720.1009588934, 313516.28970792436 1030724.485407085, 313520.71668100497 1031646.1980121856))",102
103,,"POLYGON ((314436.20615223364 1031641.8097828662, 315351.69187729084 1031637.4431744502, 315347.30842059734 1030715.7381129776, 314431.80093757506 1030720.1009588934, 314436.20615223364 1031641.8097828662))",103
104,,"POLYGON ((315351.69187729084 1031637.4431744502, 316267.173874678 1031633.0981864844, 316262.81217549456 1030711.3968688841, 315347.30842059734 1030715.7381129776, 315351.69187729084 1031637.4431744502))",104
105,,"POLYGON ((316267.173874678 1031633.0981864844, 317182.6521628954 1031628.7748185185, 317178.3122207696 1030707.0772261634, 316262.81217549456 1030711.3968688841, 316267.173874678 1031633.0981864844))",105
106,,"POLYGON ((317182.6521628954 1031628.7748185185, 318098.12676044385 1031624.4730701032, 318093.8085749253 1030702.7791843661, 317178.3122207696 1030707.0772261634, 317182.6521628954 1031628.7748185185))",106
107,,"POLYGON ((318098.12676044385 1031624.4730701032, 319013.5976858232 1031620.1929407923, 319009.30125646386 1030698.5027430473, 318093.8085749253 1030702.7791843661, 318098.12676044385 1031624.4730701032))",107
108,,"POLYGON ((319013.5976858232 1031620.1929407923, 319929.0649575331 1031615.934430142, 319924.7902838872 1030694.2479017627, 319009.30125646386 1030698.5027430473, 319013.5976858232 1031620.1929407923))",108
109,48.98703384399414,"POLYGON ((319929.0649575331 1031615.934430142, 320844.5285940729 1031611.6975377104, 320840.2756756969 1030690.0146600712, 319924.7902838872 1030694.2479017627, 319929.0649575331 1031615.934430142))",109
110,59.370487213134766,"POLYGON ((320844.5285940729 1031611.6975377104, 321759.9886139416 1031607.482263058, 321755.7574503942 1030685.8030175333, 320840.2756756969 1030690.0146600712, 320844.5285940729 1031611.6975377104))",110
