"origin_id","destination_id","duration_seconds","distance_km"
1,213,1402.89,25.03
1,214,1403.28,24.43
1,215,1394.4,24.36
1,216,1385.52,24.28
1,217,1376.64,24.21
1,218,1420.89,24.24
1,219,1424.1,24.25
1,220,1427.3,24.27
1,221,1422.45,24.25
1,222,1432.87,24.29
1,223,1409.21,24.43
1,224,1398.47,24.39
1,225,1418.74,24.48
1,226,1449.36,24.61
1,227,1475.79,24.72
1,228,1499.91,24.94
1,229,1578.13,25.27
1,230,1612.24,25.64
1,231,1626.28,25.47
1,232,1643.5,25.54
1,233,1657.59,25.6
1,234,1662.83,23.58
1,235,1661.57,23.57
1,236,1671.15,23.61
1,237,1896.96,23.26
1,238,1895.99,23.26
1,239,1895.99,23.26
1,240,1347.73,24.68
1,241,1334.8,24.57
1,242,1321.84,24.46
1,243,1308.88,24.35
1,244,1299.64,24.26
1,245,1282.8,24.14
1,246,1268.5,23.99
1,247,1275.76,24.14
1,248,1278.9,24.22
1,249,1337.46,24.66
1,250,1357,24.74
1,251,1375.67,24.82
1,252,1372.21,24.17
1,253,1363.29,24.1
1,254,1394.25,24.36
1,255,1385.37,24.28
1,256,1376.49,24.21
1,257,1367.61,24.13
1,258,1358.74,24.06
1,259,1410.86,24.2
1,260,1405.82,24.18
1,261,1405.43,24.18
1,262,1415.44,24.22
1,263,1382.44,24.26
1,264,1391.82,24.34
1,265,1444.99,24.59
1,266,1453.54,24.63
1,267,1508.55,24.98
1,268,1517.02,25.01
1,269,1554.03,25.17
1,270,1594.65,25.34
1,271,1602.89,25.37
1,272,1636.18,25.51
1,273,1668.52,23.6
1,274,1661.57,23.57
1,275,1661.57,23.57
1,276,1671.15,23.61
1,277,1671.15,23.61
1,278,1896.96,23.26
1,279,1895.99,23.26
1,280,1365.25,24.73
1,281,1375.55,24.77
1,282,1347.78,24.46
1,283,1332.26,24.39
1,284,1321.25,24.37
1,285,1326.66,24.4
1,286,1265.33,23.92
1,287,1262.18,23.84
1,288,1292.53,24.38
1,289,1324.46,24.61
1,290,1343.49,24.69
1,291,1362.29,24.76
1,292,1363.21,24.1
1,293,1354.29,24.02
1,294,1345.36,23.95
1,295,1376.34,24.21
1,296,1367.47,24.13
1,297,1358.59,24.06
1,298,1349.31,23.98
1,299,1399.12,24.15
1,300,1383.69,24.08
1,301,1385.24,24.09
