fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
144877,-0.271700213,5.610219354,-0.272200699,-0.271199729,5.609814225,5.610624482,0
38864,0.0035032,5.774710464,0.003002741,0.004003658,5.774305291,5.775115636,0
116712,-0.288725168,5.650732736,-0.289225684,-0.288224654,5.650327597,5.651137875,0
85656,-0.104586728,5.696919317,-0.105087189,-0.104086268,5.696514165,5.697324468,0
20153,-0.127621413,5.809555738,-0.128121946,-0.12712088,5.809150556,5.80996092,0
148498,-0.490858768,5.604547566,-0.491359344,-0.490358192,5.604142439,5.604952693,0
62831,-0.219690805,5.733383411,-0.220191336,-0.219190274,5.732978249,5.733788573,0
132618,-0.300727279,5.628045109,-0.301227787,-0.300226772,5.627639975,5.628450242,0
148344,-0.104576524,5.60535782,-0.105076935,-0.104076114,5.604952693,5.605762947,0
162863,-0.455822262,5.581860628,-0.45632281,-0.455321714,5.581455507,5.582265748,0
144950,-0.198646381,5.610219354,-0.199146835,-0.198145927,5.609814225,5.610624482,0
209454,-0.549833454,5.485444872,-0.550333988,-0.549332921,5.485039777,5.485849968,0
75029,0.00850721,5.713935784,0.008006783,0.009007638,5.713530627,5.71434094,0
124734,-0.254695557,5.63938888,-0.255196051,-0.254195063,5.638983744,5.639794016,0
116927,-0.073557365,5.650732736,-0.074057787,-0.073056943,5.650327597,5.651137875,0
188276,-0.347729315,5.536487758,-0.348229792,-0.347228838,5.536082648,5.536892866,0
149022,-0.506870037,5.603737313,-0.507370619,-0.506369455,5.603332186,5.604142439,0
188396,-0.227650127,5.536487758,-0.228150554,-0.227149701,5.536082648,5.536892866,0
170052,-0.461820606,5.569707049,-0.46232115,-0.461320062,5.569301931,5.570112166,0
128830,-0.148613211,5.633716984,-0.149113656,-0.148112766,5.633311849,5.634122118,0
161590,-0.248676448,5.584291355,-0.249176909,-0.248175987,5.583886233,5.584696476,0
127264,-0.004503442,5.636147794,-0.005003827,-0.004003058,5.635742658,5.636552929,0
115121,-0.169632731,5.653163574,-0.170133196,-0.169132266,5.652758434,5.653568713,0
114579,-0.141610927,5.653973854,-0.14211138,-0.141110474,5.653568713,5.654378994,0
194202,-0.251662776,5.524334537,-0.252163206,-0.251162346,5.523929431,5.524739643,0
72539,0.018515774,5.717987352,0.018015339,0.019016208,5.717582194,5.718392509,0
170347,-0.166615668,5.569707049,-0.167116087,-0.16611525,5.569301931,5.570112166,0
180932,-0.201636043,5.551071748,-0.202136467,-0.201135621,5.550666635,5.551476861,0
